0.01	93.64707087	4838943068
0.02	93.86811802	4837696777
0.03	94.23553116	4835624460
0.04	94.74783395	4832733263
0.05	95.40300278	4829032988
0.06	96.19850966	4824535901
0.07	97.13137652	4819256502
0.08	98.19824087	4813211262
0.09	99.39543243	4806418347
0.1	100.7190605	4798897327
0.11	102.1651119	4790668891
0.12	103.7295595	4781754571
0.13	105.4084799	4772176478
0.14	107.1981812	4761957067
0.15	109.0953371	4751118923
0.16	111.097127	4739684578
0.17	113.2013761	4727676355
0.18	115.4066922	4715116244
0.19	117.7125914	4702025801
0.2	120.119602	4688426073
0.21	122.6293382	4674337548
0.22	125.244528	4659780116
0.23	127.9689813	4644773051
0.24	130.8074827	4629335000
0.25	133.7655912	4613483980
0.26	136.8493339	4597237373
0.27	140.0647776	4580611925
0.28	143.4174715	4563623740
0.29	146.9117582	4546288265
0.33	148.7024639	4835833384
0.34	145.8511811	4809147453
0.35	142.9591979	4782462142
0.35	90.19613707	4831397145
0.36	140.037304	4755778260
0.37	137.0971507	4729096760
0.38	134.1502517	4702418765
0.39	131.2072059	4675745578
0.4	128.2771386	4649078670
0.41	125.3673564	4622419647
0.42	122.4832081	4595770201
0.43	119.6281492	4569132045
0.44	116.8039996	4542506838
0.45	114.0113662	4515896110
0.46	111.2501718	4489301204
0.47	108.520203	4462723245
0.48	105.8215794	4436163134
0.49	103.1550618	4409621596
0.5	100.5221601	4383099228
0.51	97.92505373	4356596582
0.52	95.36638089	4330114222
0.53	92.84897021	4303652785
0.54	90.37558157	4277213008
0.78	145.8923767	3443911072
0.79	142.0692376	3417631412
0.8	143.1130752	3391335481
0.81	148.1694614	3365259161
0.89	139.9357804	3163732241
0.9	123.8459752	3138979935
0.91	103.4244659	3114230433
0.95	105.6911442	2998517174
0.96	119.2983313	2975321650
0.97	122.1732547	2952409833
0.98	117.6379834	2930539052
0.99	108.3804959	2912104179
